Column;Data type;Description;;
Site;Text;A Unique ID that is given to each trapping site - note that there can be multiple catches for a single site;;
Zone;Text;Description of the zone. Ignore;;
Zone.Abb;Text;Description of the zone. Ignore;;
LAT;Numeric;GPS Latitude;;
LONG;Numeric;GPS Longitude;;
Habitat;Text;Descrition of the habitat at the site;;
FirstSurvey;Text;What was the name of the survey at the first time this site was surveyed;;
FirstSurveyDate;Date;The date on which this site was first surveyed;;
Count;Integer;The number of times that this site has been surveyed;;
Total;Integer;The total catch at this survey;;
Operation;Text;The name of the survey. Each survey is given a name to describe the purpose of the survey;;
DATE_.SETUP;Date;Date the trap was setup;;
DATE_.COLLECT;Date;Date the trap was collected;;
In_Out;Text;Description of whether the trap is inside or outside an intervention zone;;
Males;Integer;Number of males trapped;;
Females;Integer;Number of males trapped;;
Unknown;Integer;Number of males trapped;;
Remarks;Text;Comments;;
distToTargets;Numeric;Calculated distance (km) to the nearest targets at the time of survey;;
NearIntervention;Text;Name of the nearest river with intervention;;
elevChange;Numeric;Calculated change in elevation between targets and trap;;
trapElev;Numeric;Elevation of the trap (from DEM);;
targetElev;Numeric;Elevation of the nearest target (from DEM);;
elevDiff;Numeric;Difference in elevation between targets and traps;;
