Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
1;;;-4,764543;18,233357;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0
2;;;-4,764649;18,230704;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0
3;;;-4,765098;18,22934;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;2
4;;;-4,765586;18,228535;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0
5;;;-4,665809;18,038392;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;3
6;;;-4,666083;18,038584;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0
7;;;-4,666131;18,037949;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0
8;;;-4,669946;18,034949;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;1
9;;;-4,670838;18,034864;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;1
10;;;-4,681884;18,030563;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0
11;;;-4,766082;17,914634;;Preliminary survey;2/4/15;1;0
12;;;-4,765818;17,9144;;Preliminary survey;2/4/15;1;0
13;;;-4,706849;17,971294;;Preliminary survey;2/4/15;1;18
14;;;-4,707429;17,970748;Fishpond;Preliminary survey;2/4/15;1;0
15;;;-4,708408;17,97024;Fishpond;Preliminary survey;2/4/15;1;1
16;;;-4,709832;17,971117;Fishpond;Preliminary survey;2/4/15;1;0
17;;;-4,70958;17,970034;Fishpond;Preliminary survey;2/4/15;1;2
18;;;-4,711182;17,969529;Fishpond;Preliminary survey;2/4/15;1;0
19;;;-4,709091;17,88473;Bush;Preliminary survey;2/4/15;1;0
20;;;-4,708485;17,884346;Bush;Preliminary survey;2/4/15;1;1
21;;;-4,707929;17,885167;Bush;Preliminary survey;2/4/15;1;1
22;;;-4,710049;17,922422;Bush;Preliminary survey;2/4/15;1;0
23;;;-4,710341;17,922515;Bush;Preliminary survey;2/4/15;1;0
24;;;-4,6084;17,887314;;Preliminary survey;2/5/15;1;1
25;;;-4,608538;17,887283;;Preliminary survey;2/5/15;1;0
26;;;-4,609018;17,887769;Fishpond;Preliminary survey;2/5/15;1;2
27;;;-4,610296;17,887525;Bush;Preliminary survey;2/5/15;1;0
28;;;-4,611015;17,888192;Bush;Preliminary survey;2/5/15;1;1
29;;;-4,612036;17,888614;Small river;Preliminary survey;2/5/15;1;0
30;;;-4,613118;17,888207;Bush/Hill;Preliminary survey;2/5/15;1;0
31;;;-4,525965;17,934712;;Preliminary survey;2/9/15;1;2
32;;;-4,526421;17,934604;;Preliminary survey;2/9/15;1;0
33;;;-4,527331;17,934403;;Preliminary survey;2/9/15;1;0
34;;;-4,525257;17,935422;;Preliminary survey;2/9/15;1;0
35;;;-4,525062;17,935937;Cassava field;Preliminary survey;2/9/15;1;0
36;;;-4,52581;17,936333;Cassava field;Preliminary survey;2/9/15;1;0
37;;;-4,525803;17,93714;Cassava field;Preliminary survey;2/9/15;1;0
38;;;-4,525651;17,937942;Cassava field;Preliminary survey;2/9/15;1;0
39;;;-4,527617;17,935664;Cassava field;Preliminary survey;2/9/15;1;0
40;;;-4,53013;17,934677;;Preliminary survey;2/9/15;1;2
41;;;-4,529999;17,934906;Bush;Preliminary survey;2/9/15;1;0
42;;;-4,501061;17,965184;;Preliminary survey;2/9/15;1;2
43;;;-4,50174;17,96526;Hill;Preliminary survey;2/9/15;1;0
44;;;-4,50244;17,965035;Hill;Preliminary survey;2/9/15;1;0
45;;;-4,503171;17,965693;Hill;Preliminary survey;2/9/15;1;0
46;;;-4,503503;17,966577;Hill;Preliminary survey;2/9/15;1;0
47;;;-4,504011;17,967659;;Preliminary survey;2/9/15;1;2
48;;;-4,551096;17,978014;;Preliminary survey;2/9/15;1;2
49;;;-4,550589;17,977886;;Preliminary survey;2/9/15;1;0
50;;;-4,460878;17,962006;;Preliminary survey;2/9/15;1;0
51;;;-4,46103;17,961846;;Preliminary survey;2/9/15;1;1
52;;;-4,46076;17,962253;Hill;Preliminary survey;2/9/15;1;0
53;;;-4,461272;17,962877;Hill/Cassava field;Preliminary survey;2/9/15;1;0
54;;;-4,461467;17,963827;Hill/Cassava field;Preliminary survey;2/9/15;1;0
55;;;-4,461358;17,964767;Hill/Cassava field;Preliminary survey;2/9/15;1;0
56;;;-4,460818;17,965788;Hill/Cassava field;Preliminary survey;2/9/15;1;0
57;;;-4,460575;17,966816;Hill/Cassava field;Preliminary survey;2/9/15;1;0
58;;;-4,460396;17,967788;Hill/Cassava field;Preliminary survey;2/9/15;1;0
59;;;-4,460577;17,968889;Hill/Cassava field;Preliminary survey;2/9/15;1;0
60;;;-4,436321;17,956008;;Preliminary survey;2/12/15;1;0
61;;;-4,436222;17,955731;;Preliminary survey;2/12/15;1;0
62;;;-4,436289;17,956735;Bush;Preliminary survey;2/12/15;1;0
63;;;-4,436287;17,957246;Bush;Preliminary survey;2/12/15;1;0
64;;;-4,436952;17,958019;Bush/Cassava field;Preliminary survey;2/12/15;1;0
65;;;-4,435441;17,956184;Fishpond;Preliminary survey;2/12/15;1;1
66;;;-4,435109;17,955397;Bush;Preliminary survey;2/12/15;1;0
67;;;-4,435719;17,955368;Bush;Preliminary survey;2/12/15;1;0
68;;;-4,434472;17,955691;Fishpond;Preliminary survey;2/12/15;1;0
69;;;-4,433756;17,95581;Hill;Preliminary survey;2/12/15;1;0
70;;;-4,317996;17,934936;;Preliminary survey;2/16/15;1;0
71;;;-4,31848;17,934799;;Preliminary survey;2/16/15;1;4
72;;;-4,318691;17,935165;Hill;Preliminary survey;2/16/15;1;0
73;;;-4,31944;17,93527;Hill;Preliminary survey;2/16/15;1;0
74;;;-4,319217;17,934638;;Preliminary survey;2/16/15;1;2
75;;;-4,319869;17,937991;Palm plantation;Preliminary survey;2/16/15;1;0
76;;;-4,385766;18,027858;Bush;Preliminary survey;2/16/15;1;0
77;;;-4,394804;18,030306;Bush;Preliminary survey;2/16/15;1;0
78;;;-4,39998;18,029922;Bush;Preliminary survey;2/16/15;1;0
79;;;-4,41522;18,02874;Small river;Preliminary survey;2/16/15;1;0
80;;;-4,417269;18,029847;Small river;Preliminary survey;2/16/15;1;0
81;;;-4,417319;18,030239;Bush;Preliminary survey;2/16/15;1;0
82;;;-4,207474;17,940633;;Preliminary survey;2/17/15;1;0
83;;;-4,207204;17,94058;;Preliminary survey;2/17/15;1;3
84;;;-4,207037;17,940956;Bush;Preliminary survey;2/17/15;1;1
85;;;-4,207531;17,941727;Bush;Preliminary survey;2/17/15;1;0
86;;;-4,207886;17,942203;Bush;Preliminary survey;2/17/15;1;0
87;;;-4,207397;17,942965;Bush;Preliminary survey;2/17/15;1;0
88;;;-4,206974;17,943796;Bush;Preliminary survey;2/17/15;1;0
