Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
1;Preliminary survey;1/12/15;1/13/15;;0;0;0;; ; ; ;415; ; 
2;Preliminary survey;1/12/15;1/13/15;;0;0;0;; ; ; ;414; ; 
3;Preliminary survey;1/12/15;1/13/15;;1;1;0;; ; ; ;414; ; 
4;Preliminary survey;1/12/15;1/13/15;; ; ; ;Fallen; ; ; ;418; ; 
5;Preliminary survey;1/13/15;1/14/15;;1;2;0;; ; ; ;387; ; 
6;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;387; ; 
7;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;387; ; 
8;Preliminary survey;1/13/15;1/14/15;;1;0;0;; ; ; ;387; ; 
9;Preliminary survey;1/13/15;1/14/15;;1;0;0;; ; ; ;412; ; 
10;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;450; ; 
11;Preliminary survey;2/4/15;2/6/15;;0;0;0;Bridge on main road; ; ; ;376; ; 
12;Preliminary survey;2/4/15;2/6/15;;0;0;0;Bridge on main road; ; ; ;376; ; 
13;Preliminary survey;2/4/15;2/6/15;;7;11;0;; ; ; ;390; ; 
14;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;390; ; 
15;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;390; ; 
16;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;390; ; 
17;Preliminary survey;2/4/15;2/6/15;;0;2;0;; ; ; ;405; ; 
18;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;419; ; 
19;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;374; ; 
20;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;374; ; 
21;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;374; ; 
22;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;379; ; 
23;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;379; ; 
24;Preliminary survey;2/5/15;2/7/15;;0;1;0;; ; ; ;367; ; 
25;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
26;Preliminary survey;2/5/15;2/7/15;;1;1;0;; ; ; ;367; ; 
27;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
28;Preliminary survey;2/5/15;2/7/15;;0;1;0;; ; ; ;369; ; 
29;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
30;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;370; ; 
31;Preliminary survey;2/9/15;2/11/15;;1;1;0;Two days rain; ; ; ;358; ; 
32;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
33;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
34;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
35;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
36;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
37;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
38;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
39;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
40;Preliminary survey;2/9/15;2/11/15;;2;0;0;Two days rain; ; ; ;358; ; 
41;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
42;Preliminary survey;2/9/15;2/11/15;;1;1;0;Two days rain; ; ; ;359; ; 
43;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;368; ; 
44;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;374; ; 
45;Preliminary survey;2/9/15;2/11/15;; ; ; ;Missing; ; ; ;392; ; 
46;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;399; ; 
47;Preliminary survey;2/9/15;2/11/15;;0;2;0;Two days rain; ; ; ;411; ; 
48;Preliminary survey;2/9/15;2/11/15;;2;0;0;Two days rain; ; ; ;365; ; 
49;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;365; ; 
50;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;354; ; 
51;Preliminary survey;2/9/15;2/11/15;;0;1;0;Two days rain; ; ; ;354; ; 
52;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;354; ; 
53;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
54;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;375; ; 
55;Preliminary survey;2/9/15;2/11/15;;0;0;0;Ants; ; ; ;386; ; 
56;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;398; ; 
57;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;405; ; 
58;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;410; ; 
59;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;412; ; 
60;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
61;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
62;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
63;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;357; ; 
64;Preliminary survey;2/12/15;2/14/15;;0;0;0;Ants; ; ; ;356; ; 
65;Preliminary survey;2/12/15;2/14/15;;1;0;0;Rain; ; ; ;354; ; 
66;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
67;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
68;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;354; ; 
69;Preliminary survey;2/12/15;2/14/15;;0;0;0;Rain; ; ; ;357; ; 
70;Preliminary survey;2/16/15;2/18/15;;0;0;0;; ; ; ;350; ; 
71;Preliminary survey;2/16/15;2/18/15;;2;2;0;; ; ; ;350; ; 
72;Preliminary survey;2/16/15;2/18/15;;0;0;0;~40 m from Lukula; ; ; ;350; ; 
73;Preliminary survey;2/16/15;2/18/15;;0;0;0;~100 m from Lukula; ; ; ;350; ; 
74;Preliminary survey;2/16/15;2/18/15;;1;1;0;; ; ; ;350; ; 
75;Preliminary survey;2/16/15;2/18/15;;0;0;0;~400 m from Lukula; ; ; ;360; ; 
76;Preliminary survey;2/16/15;2/18/15;;0;0;0;~3.3 Km from small river; ; ; ;470; ; 
77;Preliminary survey;2/16/15;2/18/15;;0;0;0;~2.3 m from small river; ; ; ;420; ; 
78;Preliminary survey;2/16/15;2/18/15;;0;0;0;~1.7 Km from small river; ; ; ;401; ; 
79;Preliminary survey;2/16/15;2/18/15;;0;0;0;; ; ; ;372; ; 
80;Preliminary survey;2/16/15;2/18/15;;0;0;0;; ; ; ;377; ; 
81;Preliminary survey;2/16/15;2/18/15;;0;0;0;~40 m from small river; ; ; ;377; ; 
82;Preliminary survey;2/17/15;2/18/15;;0;0;0;; ; ; ;341; ; 
83;Preliminary survey;2/17/15;2/18/15;;2;1;0;; ; ; ;341; ; 
84;Preliminary survey;2/17/15;2/18/15;;1;0;0;~50 m from Lukula/Insia; ; ; ;341; ; 
85;Preliminary survey;2/17/15;2/18/15;;0;0;0;~125 m from Lukula/Insia; ; ; ;341; ; 
86;Preliminary survey;2/17/15;2/18/15;;0;0;0;~188 m from Lukula/Insia; ; ; ;351; ; 
87;Preliminary survey;2/17/15;2/18/15;;0;0;0;~262 m from Lukula/Insia; ; ; ;359; ; 
88;Preliminary survey;2/17/15;2/18/15;;0;0;0;~357 m from Lukula/Insia; ; ; ;369; ; 
89;Preliminary survey;2/17/15;2/18/15;;0;1;0;~457 m from Lukula/Insia; ; ; ;362; ; 
90;Preliminary survey;2/17/15;2/18/15;;0;1;0;~634 m from Lukula/Insia; ; ; ;362; ; 
91;Preliminary survey;2/17/15;2/18/15;;0;0;0;~808 m from Lukula/Insia; ; ; ;361; ; 
92;Preliminary survey;2/17/15;2/18/15;;0;0;0;~202 m from small river; ; ; ;404; ; 
93;Preliminary survey;2/17/15;2/18/15;;0;0;0;~144 m from small river; ; ; ;406; ; 
94;Preliminary survey;2/17/15;2/18/15;;0;0;0;~5 m from small river; ; ; ;399; ; 
95;Preliminary survey;2/17/15;2/18/15;;0;0;0;; ; ; ;399; ; 
96;Preliminary survey;2/17/15;2/18/15;;0;0;0;; ; ; ;399; ; 
97;Preliminary survey;2/19/15;2/21/15;;0;0;0;; ; ; ;373; ; 
98;Preliminary survey;2/19/15;2/21/15;;0;1;0;; ; ; ;373; ; 
99;Preliminary survey;2/19/15;2/21/15;;0;0;0;; ; ; ;373; ; 
