Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
1;;;-4,764543;18,233357;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0;Preliminary survey;1/12/15;1/13/15;;0;0;0;; ; ; ;415; ; 
2;;;-4,764649;18,230704;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0;Preliminary survey;1/12/15;1/13/15;;0;0;0;; ; ; ;414; ; 
3;;;-4,765098;18,22934;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;2;Preliminary survey;1/12/15;1/13/15;;1;1;0;; ; ; ;414; ; 
4;;;-4,765586;18,228535;Check river (mostly fish ponds);Preliminary survey;1/12/15;1;0;Preliminary survey;1/12/15;1/13/15;; ; ; ;Fallen; ; ; ;418; ; 
5;;;-4,665809;18,038392;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;3;Preliminary survey;1/13/15;1/14/15;;1;2;0;; ; ; ;387; ; 
6;;;-4,666083;18,038584;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;387; ; 
7;;;-4,666131;18,037949;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;387; ; 
8;;;-4,669946;18,034949;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;1;Preliminary survey;1/13/15;1/14/15;;1;0;0;; ; ; ;387; ; 
9;;;-4,670838;18,034864;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;1;Preliminary survey;1/13/15;1/14/15;;1;0;0;; ; ; ;412; ; 
10;;;-4,681884;18,030563;Check river (mostly fish ponds);Preliminary survey;1/13/15;1;0;Preliminary survey;1/13/15;1/14/15;;0;0;0;; ; ; ;450; ; 
11;;;-4,766082;17,914634;;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;Bridge on main road; ; ; ;376; ; 
12;;;-4,765818;17,9144;;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;Bridge on main road; ; ; ;376; ; 
13;;;-4,706849;17,971294;;Preliminary survey;2/4/15;1;18;Preliminary survey;2/4/15;2/6/15;;7;11;0;; ; ; ;390; ; 
14;;;-4,707429;17,970748;Fishpond;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;390; ; 
15;;;-4,708408;17,97024;Fishpond;Preliminary survey;2/4/15;1;1;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;390; ; 
16;;;-4,709832;17,971117;Fishpond;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;390; ; 
17;;;-4,70958;17,970034;Fishpond;Preliminary survey;2/4/15;1;2;Preliminary survey;2/4/15;2/6/15;;0;2;0;; ; ; ;405; ; 
18;;;-4,711182;17,969529;Fishpond;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;419; ; 
19;;;-4,709091;17,88473;Bush;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;374; ; 
20;;;-4,708485;17,884346;Bush;Preliminary survey;2/4/15;1;1;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;374; ; 
21;;;-4,707929;17,885167;Bush;Preliminary survey;2/4/15;1;1;Preliminary survey;2/4/15;2/6/15;;0;1;0;; ; ; ;374; ; 
22;;;-4,710049;17,922422;Bush;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;379; ; 
23;;;-4,710341;17,922515;Bush;Preliminary survey;2/4/15;1;0;Preliminary survey;2/4/15;2/6/15;;0;0;0;; ; ; ;379; ; 
24;;;-4,6084;17,887314;;Preliminary survey;2/5/15;1;1;Preliminary survey;2/5/15;2/7/15;;0;1;0;; ; ; ;367; ; 
25;;;-4,608538;17,887283;;Preliminary survey;2/5/15;1;0;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
26;;;-4,609018;17,887769;Fishpond;Preliminary survey;2/5/15;1;2;Preliminary survey;2/5/15;2/7/15;;1;1;0;; ; ; ;367; ; 
27;;;-4,610296;17,887525;Bush;Preliminary survey;2/5/15;1;0;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
28;;;-4,611015;17,888192;Bush;Preliminary survey;2/5/15;1;1;Preliminary survey;2/5/15;2/7/15;;0;1;0;; ; ; ;369; ; 
29;;;-4,612036;17,888614;Small river;Preliminary survey;2/5/15;1;0;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;367; ; 
30;;;-4,613118;17,888207;Bush/Hill;Preliminary survey;2/5/15;1;0;Preliminary survey;2/5/15;2/7/15;;0;0;0;; ; ; ;370; ; 
31;;;-4,525965;17,934712;;Preliminary survey;2/9/15;1;2;Preliminary survey;2/9/15;2/11/15;;1;1;0;Two days rain; ; ; ;358; ; 
32;;;-4,526421;17,934604;;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
33;;;-4,527331;17,934403;;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
34;;;-4,525257;17,935422;;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
35;;;-4,525062;17,935937;Cassava field;Preliminary survey;2/9/15;1;0;Preliminary survey;2/9/15;2/11/15;;0;0;0;Two days rain; ; ; ;358; ; 
