firstname,lastname,gender
Taylor,Swift,female
Kim,Kardashian,female
Justin,Bieber,male
Katy,Perry,female
Selena,Gomez,female
Dwayne,Johnson,male
Leonardo,DiCaprio,male
Cristiano,Ronaldo,male
Jennifer,Lawrence,female
Brad,Pitt,male
Ariana,Grande,female
Vin,Diesel,male
Miley,Cyrus,female
Jennifer,Aniston,female
Nicki,Minaj,female
Kanye,West,male
Angelina,Jolie,female
Emma,Watson,female
Jennifer,Lopez,female
Johnny,Depp,male
Britney,Spears,female
Tom,Cruise,male
Robert,Downey Jr.,male
Will,Smith,male
Scarlett,Johansson,female
Charlize,Theron,female
Ellen,DeGeneres,female
Ben,Affleck,male
David,hasselhoff,male
Zac,Efron,male
Chris,Pratt,male
Kristen,Steward,female
Steven,Seagal,male
Sandra,Bullock,female
Kevin,Hart,male
Oprah,Winfrey,female
Nicole,Kidman,female
Harry,Styles,male
Tom,Hanks,male
Julia,Roberts,female
Robert,Pattinson,male
Matt,Damon,male
John,Doe,male
Jane,Doe,female
Robert,Smith,male
Emily,Johnson,female
Michael,Brown,male
Emma,Williams,female
James,Jones,male
Olivia,Davis,female
Daniel,Miller,male
Sophia,Wilson,female
David,Moore,male
Mia,Taylor,female
Joseph,Anderson,male
Charlotte,Thomas,female
Thomas,Jackson,male
Amelia,Thompson,female
Charles,White,male
Isabella,Harris,female
Christopher,Martin,male
Ava,Clark,female
Daniel,Rodriguez,male
Madison,Lewis,female
Matthew,Lee,male
Ella,Walker,female
Andrew,Hall,male
Scarlett,Allen,female
Joshua,Young,male
Harper,King,female
Ethan,Wright,male
Abigail,Scott,female
Ryan,Green,male
Luna,Adams,female
Dylan,Baker,male
Sofia,Gonzalez,female
Cameron,Nelson,male
Avery,Carter,female
Jayden,Hill,male
Riley,Mitchell,female
Brayden,Ramirez,male
Chloe,Roberts,female
Wyatt,Phillips,male
Layla,Campbell,female
Angel,Edwards,male
Madelyn,Rogers,female
Cooper,Perez,male
Zoe,Turner,female
Isaiah,Torres,male
Addison,Jordan,female
Luke,Reynolds,male
Lily,Coleman,female
Gavin,Griffin,male
Zoey,Dunn,female
Aiden,Hunter,male
Brooklyn,Kennedy,female
Grayson,Lane,male
Kimberly,Barnes,female
Austin,Riley,male
Albert,Einstein,male
Marie,Curie,female
Isaac,Newton,male
Rosalind,Franklin,female
Galileo,Galilei,male
Jane,Goodall,female
Nikola,Tesla,male
Grace,Hopper,female
Louis,Pasteur,male
Rachel,Carson,female
Charles,Darwin,male
Barbara,McClintock,female
James,Maxwell,male
Rita,Levi-Montalcini,female
Thomas,Edison,male
Chien-Shiung,Wu,female
Stephen,Hawking,male
Maria,Mayer,female
Neil,Armstrong,male
Elon,Musk,male
Ada,Lovelace,female
Carolyn,Porco,female
Sergey,Brin,male
Larry,Page,male
Steve,Jobs,male
Bill,Gates,male
Mark,Zuckerberg,male
Jeff,Bezos,male
Tim,Berners-Lee,male
