ID OU,Nom OU,ID OU vers laquelle déplacer les soumissions
3746080,Shatonga 2 SSC,2863346
2975871,Kinguba SSC,4112447
2873782,shamusepe,2975875
2975876,Yamba yamba SSC,2873490
2975881,Esobe SSC,2975673
4852305,kalunda,2975688
2975898,Depose SSC,4853288
4854065,kakumba 1,2975703
5203564,kakumba 2,2975704
4853057,buatu,4167185
4853059,Katubadi,4764943
4853056,Mukongo,4764942
4852531,kalupongo,2976006
4853197,KAMANYONGA 1,4203733
5213363,Nsampa,5013231
5023792,ssc KHOTO,2975757
5203642,kanyembu,5013244
4203499,kalembe village,2976024
4851531,bangabanga ssc,2975717
4851532,lubemba ssc,2975715
4852067,Site SHAKAFUTSHI,4112488
4203500,Changa,4203496
4203497,shanga,4203496
4852623,ngulungu port,2976072
4852624,sudika,2975814
4852625,DIKOLESHENU,2975814
4852626,DIKOLESHENU,2975814
4852704,Kamiaka,4765079
4852753,muyombo,4112395
5203676,MBUMBA,2975786
4849008,Ngelengombe SC,4848969
5023835,pandji,4848760
2877000,NKUSU,4846296
5002094,Ntambala SSC,4846253
4846251,Luekedi SSC,5002096
4853143,kabisuyi,4765087
5121768,ssc kabuji,5012802
5023884,ssc kaseba,5012800
5023573,MBOMBO NGULUNGU SSC,5012814
5013121,MUAMBA KASONGA SSC,5012812
4852776,shamasolo,4203848
4852779,kanana1,4112707
4852780,kanana2,4112708
5023572,NDAYI WA KUBUNDA SSC,5012813
5203577,nshimba mpolesha1,5012820
4852784,muyengenu,2976091
5203578,kabandabanda,5012824
4852859,muzombo ssc,4112494
5203576,nshimba tshintakula,5012815
4853001,Kamanga,4765091
4853007,nguvu,4765030
4853015,kenga,2976070
4853020,KAMBA KUNGU,4203847
4853113,kabongo-misenga,2869917
4868222,kasanza 2,4112491
4853199,MBUYI SSC,4203731
4853282,Mbuyi gérant,4765080
4853283,Tshiamasola,4765081
4853284,tshiamasola,4765081
4868223,khoji kayinge,4765019
4868224,Mambangala,4765020
4868225,saka,3755369
4867535,luankuanga,4800591
4868007,menji 2,4800587
4868040,nsampa,4800593
4868192,kibanda,2975746
4868216,kindamba,3755368
4868217,madima,4118347
4868218,saka,4765024
4868219,kimbangu luvu,4765026
4868221,SSC KHOJI APUTA,4765022
4112500,Kabutende SSC,4203437
4852781,kambundu1,4112706
4118318,kaniangu,4112558
4852769,kawalwa,2975853
4868272,jimbo,4765037
4868273,kayinge,4765039
4868312,ndaba,4203489
4118321,kayinganga,4112560
4996679,SHAFINJI,2976013
4118329,kibolongua,2975829
4996878,Kabita SSC,2976069
4996909,rapport mensuel,5013228
4997050,rapport mensuel ssc bayi bayi,4800590
4118319,kingudi,4112559
4852816,Kisonde,2975838
5012298,tshisjika,2975933
5012299,tshishika,2975933
4118327,manengu,2975822
4852764,kamatumba,4203858
4118328,mingu,2975823
4852773,muambinda,4203846
4852765,mukambo,4203850
5023851,bifure,4765030
4118320,sanga,4112561
4852783,sha bana,2976092
5203563,saka ferme,4118259
4852768,sha yongo,2975854
4852766,shakombe,2976094
4852772,shamahina,4203851
4852771,shamakawu,2976095
4852770,shamuhembo,2976097
4852774,shangonve,2975856
4852767,tshinaweji,2975855
4852775,yobo,4203844
