as,zs,dps
bu Aboso Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Agemeto Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Agri Uele Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Ahaupa Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Akpudu Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
bu Amadi Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Andea Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Andoma Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Api 2 Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Api Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Assa Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Azande Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Azapana Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Baepulu Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Bale Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Balele Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Balengolu Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Bamaria Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Bambesa Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Bambili Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Bambilo Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Banda Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Bandueli Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Basokpio Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Baye Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Bayule Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Bela Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Biasu Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Bika Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Boganga Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Bokoyo Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Bombongolo Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Bomea Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Bondeko Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Bondunga Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Bonzengo Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Bulumasi  Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Bunduki Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Buye Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Dakwa Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Danga Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Dekere Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Dembia Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Dengu Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Diabandigba Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
bu Difongo Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Digba Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Disolo Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Doromo Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Dulia Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Dumobata Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Ebale Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Efolu Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Eganda Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Ganga Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Gasende Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Gatanga Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Gbangatana Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Gitalio Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Gumbu Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Itimbiri Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Kana  Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Kana Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Kembisa Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Kisanga Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Kolo Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Kopi Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Koteli Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Kpakana Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Kule Aire de Santé,bu Bondo Zone de Santé,bu Bas Uele Province
bu Kulu Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Kumu Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
