ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONGO-CENTRAL;MATADI;KONGO CENTRAL 1;BOMA;BOMA VILLE;KIMBANGU;KALAMU;ECOLE PRIMAIRE KISOLOKELE;NULL;-5.85027684637961;13.059383984086399;49.853656291011035;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONGO-CENTRAL;MATADI;KONGO CENTRAL 2;LUOZI 1;LUOZI;BIDIMIO;LUOZI;ECOLE PRIMAIRE NZADI;NULL;-4.938508027560553;14.118143596878202;234.23603769079665;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA LUKUNGA;NGALIEMA 2;LUKUNGA;NDJELO BINZA;KINSHASA;ECOLE PRIMAIRE MAMAN NKUAKIADI;NGALIEMA;-4.382492554625135;15.258315584414369;433.68056178938343;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONGO-CENTRAL;MATADI;KONGO CENTRAL 1;SEKE BANZA 1;SEKE BANZA;MBENZA-NIATI;KINZAU VUETE;COMPLEXE SCOLAIRE KIMPUANZA1;NULL;-5.49477893;13.29535061;385.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONGO-CENTRAL;MATADI;KONGO CENTRAL 1;SEKE BANZA 1;SEKE BANZA;KUNGU-YALALA;NEANT;ECOLE MATERNELLE NKUAKIADI;NULL;-5.4969053;13.2961861;0.0;2486.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONGO-CENTRAL;MATADI;KONGO CENTRAL 2;MBANZA NGUNGU 1;MBANZA-NGUNGU;NZUNDU;NEANT;ECOLE MATERNELLE KIWASISILUA 1;NULL;-5.031591120014141;14.599147772090715;655.9106553471356;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA TSHANGU;MASINA 2;TSHANGU;PELENDE;MASINA;ECOLE MATERNELLE EM MAMA MUILU MARIE;NULL;-4.3883924102352125;15.396348787579372;293.98040898985414;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA TSHANGU;N'DJILI;TSHANGU;Q3;NDJILI;ECOLE MATERNELLE EM MA MA NSONA MARIE;NULL;-4.4011377086428825;15.378478792926451;293.46170555856486;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA LUKUNGA;MONT NGAFULA 2;LUKUNGA;LUTENDELE;MONT NGAFULA;ECOLE PRIMAIRE DIANGENDA KUNTIMA;NULL;-4.373268046229129;15.180952792309315;280.5910636258704;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA LUKUNGA;NGALIEMA 3;LUKUNGA;BUMBA;NGALIEMA;ECOLE PRIMAIRE BOLINGO/NGALIEMA;NULL;-4.382633323708832;15.235280203813467;423.89605241542444;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
